"Program Address","Load Address","Program Data","Read Address","Read Data","Read Size (In Bits)","Write Address","Write Data","Write Size (In Bits)","Cycles","Stall Cycle Data","Memory/Cache Event","External Event","Target State Data","Trace Status","Stall Event Names","Memory Event Names","Function","Disassembly"
"","","","","","","","","","","","","","","Start of trace","","","UNKNOWN",""
"","","","","","","","","","","","","","","Incomplete frame, Missing start of frame marker, disable circular buffering or assure collection is started before running target.","","","UNKNOWN",""
"0022b390","0022b390","30104265","","","0020","","","","000001","","","","","","","","m_ater_process_egress","    [!B0]  LDW.D1T1      *+A4[2],A0"
"0022b394","0022b394","302842e6","","","0020","","","","","","","","","","","","m_ater_process_egress"," || [!B0]  LDW.D2T2      *+B10[2],B0"
"0022b398","0022b398","00000627","","","","","","","000001","","","","","","","","m_ater_process_egress","           MVK.L2        0,B4"
"0022b39a","0022b39a","00004c6e","","","","","","","000003","","","","","","","","m_ater_process_egress","           SUB.L1        A7,A0,A4"
"0022b3a0","0022b3a0","00019c0b","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S2       B0,12,28,B0"
"0022b3a4","0022b3a4","00819c08","","","","","","","","","","","","","","","m_ater_process_egress"," ||        EXTU.S1       A0,12,28,A1"
"0022b3a8","0022b3a8","0001ea5a","","","","","","","000001","","","","","","","","m_ater_process_egress","           CMPEQ.L2      15,B0,B0"
"0022b3ac","0022b3ac","300e8121","","","","","","","000005","","","","","","","","m_ater_process_egress","    [!B0]  BNOP.S1       0x22b3d8,4"
"0022b3b0","0022b3b0","20340297","","","0008","","","","","","","","","","","","m_ater_process_egress"," || [ B0]  LDBU.D2T2     *+B13[0],B0"
"0022b3b4","0022b3b4","01841fda","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MV.L2X        A1,B3"
"0022b3b8","0022b3b8","0001900a","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S2       B0,12,16,B0"
"0022b3d8","0022b3d8","000f840a","","","","","","","000001","","","","","","","","m_ater_process_egress","           EXTU.S2       B3,28,4,B0"
"0022b3e0","0022b3e0","00031bc8","","","","","","","000001","","","","","","","","m_ater_process_egress","           CLR.S1        A0,24,27,A0"
"0022b3e0","0022b3e0","00031bc8","","","","","","","000015","","","","","Pipeline stall","","","m_ater_process_egress","           CLR.S1        A0,24,27,A0"
"0022b3e4","0022b3e4","03001ff8","","","","","","","000001","","","","","","","","m_ater_process_egress","           OR.L1X        A0,B0,A6"
"0022b3e4","0022b3e4","03001ff8","","","","","","","000001","","","","","Pipeline stall","","","m_ater_process_egress","           OR.L1X        A0,B0,A6"
"0022b3e8","0022b3e8","1ffe7813","","","","","","","000006","","","","","","","","m_ater_process_egress","           CALLP.S2      0x22a7a0,B3"
"0022b3ec","0022b3ec","032842f5","","","","","","0020","","","","","","","","","m_ater_process_egress"," ||        STW.D2T1      A6,*+B10[2]"
"0022b3f0","0022b3f0","00009586","","","","","","","","","","","","","","","m_ater_process_egress"," ||        MV.L1X        B11,A4"
"0022a7a0","0022a7a0","0000800c","","","0008","","","","000001","","","","","","","","get_amr_rif_next","           LDW.D1T1      *A4[4],A0"
"0022a7a2","0022a7a2","0000de33","","","","","","","000001","","","","","","","","get_amr_rif_next","           MVK.S1        189,A5"
